source,status_sign,status,table_name,row_count,error_message,timestamp
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,2523765,,2025-05-29T10:47:30Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN_DATA,541121884,,2025-05-29T10:47:31Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_ADGROUP,20516500,,2025-05-29T10:47:31Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_ADGROUP_DATA,2344857178,,2025-05-29T10:47:31Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN_AD,95662000,,2025-05-29T10:47:32Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN_AD_DATA,3741272396,,2025-05-29T10:47:32Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_KEYWORD,119038707,,2025-05-29T10:47:32Z
raw,✅,success,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_KEYWORD_DATA,7038161054,,2025-05-29T10:47:33Z
intermedia,✅,success,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,221908670,,2025-05-29T10:47:33Z
intermedia,✅,success,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,11096622,,2025-05-29T10:47:33Z
intermedia,✅,success,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_AUDIENCE_MONTHLY,13451228,,2025-05-29T10:47:34Z
intermedia,✅,success,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_CREATIVE_MONTHLY,232833832,,2025-05-29T10:47:34Z
intermedia,✅,success,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_ASSET_MONTHLY,23802,,2025-05-29T10:47:34Z
